station_id,lat,lon
ONR-2306,43.96666718,-79.23332977
ONR-2602,45.11666489,-76.5
ONR-2603,45.29999924,-75.98332977
ONR-2607,44.95000076,-76.68333435
ONR-2612,45.04999924,-76.41666412
ONR-2614,44.86666489,-76.71666718
ONR-2615,45.04999924,-76.41666412
ONR-2702,44.54999924,-77.33333588
ONR-3006,44.58333206,-79.69999695
ONR-3007,44.59999847,-79.93333435
ONR-3305,44.88333511,-76.21666718
ONR-3408,44.04999924,-81.1166687
ONR-3412,44.29999924,-80.73332977
ONR-3701,43.06666565,-81.30000305
ONR-3703,42.96666718,-80.93333435
ONR-3707,43.18333435,-81.05000305
ONR-3713,42.98333359,-81.33333588
ONR-3714,43.15000153,-81.30000305
ONR-4001,43.13333511,-79.93333435
ONR-4002,43.18333435,-79.94999695
ONR-4003,42.93333435,-79.44999695
ONR-4007,43.20000076,-79.1166687
ONR-4105,44,-77.21666718
ONR-4501,44.06666565,-78.34999847
